DOD,f_ri_cyc
0.855,0.0010569321
0.856,0.00106007
0.857,0.0010632079
0.858,0.0010663457
0.8590000000000001,0.0010694836
0.86,0.0010726214
0.861,0.0010757593
0.862,0.0010788971
0.863,0.001082035
0.8640000000000001,0.0010851729
0.865,0.0010883107
0.866,0.0010914486
0.867,0.0010945864
0.868,0.0010977243
0.8690000000000001,0.0011008621
0.87,0.001104
0.871,0.0011048769
0.872,0.0011057538
0.873,0.0011066308
0.8740000000000001,0.0011075077
0.875,0.0011083846
0.8759999999999999,0.0011092615
0.877,0.0011101385
0.878,0.0011110153999999
0.879,0.0011118923
0.88,0.0011127692
0.8809999999999999,0.0011136461999999
0.882,0.0011145231
0.883,0.0011154
0.884,0.0011162769
0.885,0.0011171538
0.8859999999999999,0.0011180308
0.887,0.0011189077
0.888,0.0011197846
0.889,0.0011206615
0.89,0.0011215385
0.8909999999999999,0.0011224154
0.892,0.0011232923
0.893,0.0011241692
0.894,0.0011250462
0.895,0.0011259231
0.8959999999999999,0.0011268
0.897,0.0011276769
0.898,0.0011285538
0.899,0.0011294308
0.9,0.0011303077
0.901,0.0011311846
0.902,0.0011320615
0.903,0.0011329385
0.904,0.0011338154
0.905,0.0011346923
0.906,0.0011355692
0.907,0.0011364462
0.908,0.0011373231
0.909,0.0011382
0.91,0.0011390769
0.911,0.0011399538
0.912,0.0011408308
0.913,0.0011417077
0.914,0.0011425846
0.915,0.0011434614999999
0.916,0.0011443385
0.917,0.0011452154
0.918,0.0011460923
0.919,0.0011469692
0.92,0.0011478462
0.921,0.0011487231
0.922,0.0011496
0.923,0.0011504769
0.924,0.0011513538
0.925,0.0011522308
0.926,0.0011531077
0.927,0.0011539846
0.928,0.0011548615
0.929,0.0011557385
0.93,0.0011566153999999
0.931,0.0011574922999999
0.932,0.0011583692
0.933,0.0011592462
0.934,0.0011601231
0.935,0.001161
0.936,0.0011618769
0.937,0.0011627538
0.938,0.0011636308
0.939,0.0011645077
0.94,0.0011653846
0.941,0.0011662615
0.942,0.0011671385
0.943,0.0011680154
0.944,0.0011688923
0.945,0.0011697692
0.946,0.0011706461999999
0.947,0.0011715230999999
0.948,0.0011724
0.949,0.0011732769
0.95,0.0011741538
0.951,0.0011750308
0.952,0.0011759077
0.953,0.0011767846
0.954,0.0011776615
0.955,0.0011785385
0.956,0.0011794154
0.957,0.0011802923
0.958,0.0011811692
0.959,0.0011820462
0.96,0.0011829231
0.961,0.0011838
0.962,0.0011846769
0.963,0.0011855538
0.964,0.0011864308
0.965,0.0011873077
0.966,0.0011881846
0.967,0.0011890614999999
0.968,0.0011899385
0.969,0.0011908154
0.97,0.0011916923
0.971,0.0011925692
0.972,0.0011934462
0.973,0.0011943231
0.974,0.0011952
0.975,0.0011960769
0.976,0.0011969538
0.977,0.0011978308
0.978,0.0011987077
0.979,0.0011995846
0.98,0.0012004614999999
0.981,0.0012013385
0.982,0.0012022153999999
0.983,0.0012030923
0.984,0.0012039692
0.985,0.0012048462
0.986,0.0012057231
0.987,0.0012066
0.988,0.0012074769
0.989,0.0012083538
0.99,0.0012092308
0.991,0.0012101077
0.992,0.0012109846
0.993,0.0012118615
0.994,0.0012127385
0.995,0.0012136153999999
0.996,0.0012144923
0.997,0.0012153692
0.998,0.0012162461999999
0.999,0.0012171231
1.0,0.001218
